nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0383574,tt0408236"
nm0000138,Leonardo DiCaprio,1974,\N,"actor,producer,writer","tt0407887,tt0993846,tt0120338,tt1375666"
nm0000158,Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
nm0000226,Will Smith,1968,\N,"music_department,actor,producer","tt0480249,tt0120891,tt0119654,tt0098800"
nm0000821,Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
nm0006795,Salman Khan,1965,\N,"actor,producer,soundtrack","tt4832640,tt3595298,tt2016894,tt3863552"
nm0222426,Ajay Devgn,1969,\N,"actor,producer,music_department","tt3771536,tt0319736,tt1395054,tt0296574"
nm0451148,Aamir Khan,1965,\N,"actor,producer,soundtrack","tt0169102,tt5074352,tt0405508,tt0986264"
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,soundtrack","tt0420332,tt2112124,tt1285241,tt0238936"
nm0474774,Akshay Kumar,1967,\N,"actor,producer,soundtrack","tt3848892,tt2283748,tt1146325,tt0242519"
